first_confirmation_code,confirmation_code,bill_tender_amount_usd,ds
HMXDHXKKSW,,,2025-01-25
HMD3385JWS,HMD3385JWS,308.91,2025-01-27
HM2P2QBC3P,HM2P2QBC3P,557.91,2025-01-23
HM8XDWZBWX,HM8XDWZBWX,2140.46,2025-01-27
HMK3FAACDC,HMK3FAACDC,1732.38,2025-01-22
HMPQ9R4JXE,HMPQ9R4JXE,264.55,2025-01-25
HMD3WQ2PHQ,,,2025-01-24
HMT885MX3Q,,,2025-01-26
HMY5H3HHJD,HMY5H3HHJD,1962.71,2025-01-27
HMQ3H4H5JT,HMQ3H4H5JT,369.24,2025-01-28
HMC8JJF5YE,HMC8JJF5YE,507.02,2025-01-20
HMNFSABS4K,,,2025-01-20
HMWBYBH23X,HMWBYBH23X,2816.44,2025-01-20
HM3PD9PJCY,HM3PD9PJCY,1206.1,2025-01-20
HMM9YEBXF4,HMM9YEBXF4,297.94,2025-01-20
HMYPNNPF9W,HMYPNNPF9W,169.22,2025-01-20
HME388JNSN,HME388JNSN,987.1,2025-01-20
HMTMCJWKN2,HMTMCJWKN2,1632.9,2025-01-20
HMKPYWKRM8,HMKPYWKRM8,258.61,2025-01-20
HM3NTK8JD9,,,2025-01-20
HMFB2ZZ2FD,HMFB2ZZ2FD,1665.21,2025-01-20
HM3C5WSZXK,,,2025-01-20
HMJKARETFF,HMJKARETFF,784.04,2025-01-20
HM4NE4ZDK9,,,2025-01-20
HM2AXJMMYZ,,,2025-01-20
HMKK8BZKP5,,,2025-01-20
HMWHNMHXD8,HMWHNMHXD8,275.54,2025-01-20
HMZ2DD2YXT,HMZ2DD2YXT,1743.16,2025-01-20
HMNCXKCJCN,HMNCXKCJCN,621.71,2025-01-20
HM9KHMP9QA,HM9KHMP9QA,283.81,2025-01-20
HMQPREESER,HMQPREESER,709.51,2025-01-20
HMXJS45REJ,HMXJS45REJ,1285.18,2025-01-20
HMDRZYX9ZT,HMDRZYX9ZT,3099.01,2025-01-20
HMA99MBBJP,HMA99MBBJP,1720.65,2025-01-20
HM83EZRRWA,,,2025-01-20
HM2DZYHFEX,HM2DZYHFEX,497.75,2025-01-20
HMH4NX5AA4,HMH4NX5AA4,1175.23,2025-01-20
HM45ZXW5TE,HM45ZXW5TE,821.17,2025-01-20
HMBX59RWPJ,HMBX59RWPJ,2666.52,2025-01-20
